Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Status
vintage-silver-pearl-crystal-cross-necklace,Vintage Silver Pearl & Crystal Cross Necklace,"<p>A delicate cross set with pearls and crystals at every point — quietly devotional, softly vintage.</p><ul><li>Rhodium-plated sterling silver (95% recycled base)</li><li>Shell pearls & 5A clear zircon</li><li>Adjustable cable chain</li><li>Hand-finished & polished</li><li>Arrives in an anti-oxidation pouch</li></ul><p><em>Jewelry that marks your every becoming.</em></p>",herprint,Necklaces,"Necklaces, Silver, Pearl, Cross, Vintage, New",FALSE,Title,Default Title,shopify,100,deny,manual,74.90,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0688/1437/3056/files/NC_06_W.jpg,1,Vintage Silver Pearl & Crystal Cross Necklace,draft
vintage-silver-pearl-crystal-cross-necklace,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0688/1437/3056/files/NC_06_ON_01.jpg,2,Vintage Silver Pearl & Crystal Cross Necklace,
vintage-silver-pearl-crystal-cross-necklace,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0688/1437/3056/files/NC_06_ON_02.jpg,3,Vintage Silver Pearl & Crystal Cross Necklace,
vintage-silver-pearl-crystal-cross-necklace,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0688/1437/3056/files/NC_06_ON_03.jpg,4,Vintage Silver Pearl & Crystal Cross Necklace,
vintage-silver-pearl-crystal-cross-necklace,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0688/1437/3056/files/NC_06_ON_04.jpg,5,Vintage Silver Pearl & Crystal Cross Necklace,
sparkling-silver-crystal-baguette-cross-necklace,Sparkling Silver Crystal Baguette Cross Necklace,<p>A cross built from tapered baguette crystals that throw light like stained glass. Statement and meaning in one.</p><ul><li>Rhodium-plated sterling silver (95% recycled base)</li><li>Tapered baguette 5A clear zircon</li><li>Adjustable cable chain</li><li>Hand-finished & polished</li><li>Arrives in an anti-oxidation pouch</li></ul><p><em>Jewelry that marks your every becoming.</em></p>,herprint,Necklaces,"Necklaces, Silver, Clear, Cross, Statement, New",FALSE,Title,Default Title,shopify,100,deny,manual,74.90,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0688/1437/3056/files/NC_07_W.jpg,1,Sparkling Silver Crystal Baguette Cross Necklace,draft
sparkling-silver-crystal-baguette-cross-necklace,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0688/1437/3056/files/NC_07_ON_01.jpg,2,Sparkling Silver Crystal Baguette Cross Necklace,
sparkling-silver-crystal-baguette-cross-necklace,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0688/1437/3056/files/NC_07_ON_02.jpg,3,Sparkling Silver Crystal Baguette Cross Necklace,
sparkling-silver-crystal-baguette-cross-necklace,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0688/1437/3056/files/NC_07_ON_03.jpg,4,Sparkling Silver Crystal Baguette Cross Necklace,
sparkling-silver-crystal-baguette-cross-necklace,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0688/1437/3056/files/NC_07_ON_04.jpg,5,Sparkling Silver Crystal Baguette Cross Necklace,
dainty-silver-green-heart-crystal-necklace,Dainty Silver Green Heart Crystal Necklace,"<p>One little green heart floating on a fine silver chain — barely there, endlessly sweet.</p><ul><li>Rhodium-plated sterling silver (95% recycled base)</li><li>Heart-cut 5A green zircon</li><li>Adjustable cable chain</li><li>Hand-finished & polished</li><li>Arrives in an anti-oxidation pouch</li></ul><p><em>Jewelry that marks your every becoming.</em></p>",herprint,Necklaces,"Necklaces, Silver, Green, Heart, Dainty, New",FALSE,Title,Default Title,shopify,100,deny,manual,54.90,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0688/1437/3056/files/NC_08_W.jpg,1,Dainty Silver Green Heart Crystal Necklace,draft
